,Fare,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,distance,passenger_count,pickup_datetime
0,4.5,-73.844311,40.721319,-73.84161,40.712278000000005,1.030765358800604,1.0,2009-06-15 17:26:21 UTC
1,16.9,-74.016048,40.711303,-73.979268,40.782004,8.450145267627628,1.0,2010-01-05 16:52:16 UTC
2,5.7,-73.982738,40.76127,-73.991242,40.750562,1.389527145063717,2.0,2011-08-18 00:35:00 UTC
3,7.7,-73.98713000000001,40.733143,-73.991567,40.758092,2.799274106500232,1.0,2012-04-21 04:30:42 UTC
4,5.3,-73.96809499999999,40.768008,-73.956655,40.783762,1.9991595493487855,1.0,2010-03-09 07:51:00 UTC
5,12.1,-74.000964,40.731629999999996,-73.972892,40.758233000000004,3.78724431594052,1.0,2011-01-06 09:50:45 UTC
6,7.5,-73.980002,40.751661999999996,-73.973802,40.764842,1.5558088083224033,1.0,2012-11-20 20:35:00 UTC
7,16.5,-73.9513,40.774138,-73.990095,40.751048,4.155450031589928,1.0,2012-01-04 17:22:00 UTC
8,5.9399999999999995,-74.006462,40.726713000000004,-73.993078,40.731628,1.2532332437620812,1.0,2012-12-03 13:10:00 UTC
9,8.9,-73.98065799999999,40.733872999999996,-73.99154,40.758138,2.849630732180236,2.0,2009-09-02 01:11:00 UTC
10,5.3,-73.996335,40.737142,-73.980721,40.733559,1.374578898240458,1.0,2012-04-08 07:30:50 UTC
11,4.1,-73.991601,40.744712,-73.983081,40.744682,0.717768478875796,2.0,2009-11-06 01:04:03 UTC
12,7.0,-74.00536,40.728867,-74.008913,40.710907,2.0193866164896543,1.0,2013-07-02 19:54:00 UTC
13,7.7,-74.00182099999999,40.737547,-73.99806,40.722788,1.6714469067727284,2.0,2011-04-05 17:11:05 UTC
14,12.5,-73.98643,40.760465,-73.98899,40.737075,2.609778098519423,1.0,2014-02-19 07:22:00 UTC
15,5.3,-73.98106,40.73769,-73.99417700000001,40.728412,1.5119063360507798,1.0,2009-07-22 16:08:00 UTC
16,5.3,-73.969505,40.784843,-73.958732,40.783357,0.9219529917084901,1.0,2010-07-07 14:52:00 UTC
17,4.0,-73.979815,40.751902,-73.979446,40.755481,0.3991791217677804,1.0,2014-12-06 20:36:22 UTC
18,10.5,-73.985382,40.747858,-73.97837700000001,40.76207,1.6868636601614833,1.0,2010-09-07 13:18:00 UTC
19,11.5,-73.957954,40.779252,-73.96125,40.758787,2.2924729664118466,1.0,2013-02-12 12:15:46 UTC
20,4.5,-73.99170699999999,40.770505,-73.98545899999999,40.763671,0.9242970093305823,1.0,2009-08-06 18:17:23 UTC
21,4.9,-74.000632,40.747473,-73.986672,40.740577,1.4039601178314562,1.0,2010-12-06 12:29:00 UTC
22,6.1,-73.969622,40.756972999999995,-73.98115200000001,40.759712,1.0177744940373883,1.0,2009-12-10 15:37:00 UTC
23,7.3,-73.991875,40.754437,-73.97723,40.774322999999995,2.5319501944662943,3.0,2011-06-21 16:15:00 UTC
24,4.5,-73.988893,40.76016,-73.98644499999999,40.757857,0.32877130680263067,3.0,2011-06-28 19:47:00 UTC
25,9.3,-73.98925799999999,40.690835,-74.004133,40.72569,4.0734687169943555,1.0,2012-05-04 06:11:20 UTC
26,4.5,-73.98102,40.737759999999994,-73.98066800000001,40.730497,0.80815427705666,2.0,2013-08-11 00:52:00 UTC
27,5.5,-73.976075,40.752421999999996,-73.981082,40.759285,0.8719144733381348,1.0,2014-02-19 16:03:00 UTC
28,22.54,-74.01048279,40.71766663,-73.98577118,40.66036606,6.703560935451754,1.0,2015-06-21 21:46:34 UTC
29,31.9,-73.87302700000001,40.773883000000005,-73.984545,40.769545,9.403308646773802,3.0,2009-01-09 16:10:00 UTC
