,Fare,distance,passenger_count,year,Month,Date,Hour,Minute,Second
0,4.5,1.030765358800604,1.0,2009,6,15,17,26,21
1,16.9,8.450145267627628,1.0,2010,1,5,16,52,16
2,5.7,1.389527145063717,2.0,2011,8,18,0,35,0
3,7.7,2.7992741065002322,1.0,2012,4,21,4,30,42
4,5.3,1.9991595493487853,1.0,2010,3,9,7,51,0
5,12.1,3.7872443159405202,1.0,2011,1,6,9,50,45
6,7.5,1.555808808322403,1.0,2012,11,20,20,35,0
7,16.5,4.155450031589928,1.0,2012,1,4,17,22,0
8,5.94,1.2532332437620812,1.0,2012,12,3,13,10,0
9,8.9,2.8496307321802368,2.0,2009,9,2,1,11,0
10,5.3,1.374578898240458,1.0,2012,4,8,7,30,50
11,4.1,0.7177684788757959,2.0,2009,11,6,1,4,3
12,7.0,2.0193866164896543,1.0,2013,7,2,19,54,0
13,7.7,1.6714469067727284,2.0,2011,4,5,17,11,5
14,12.5,2.609778098519423,1.0,2014,2,19,7,22,0
15,5.3,1.5119063360507798,1.0,2009,7,22,16,8,0
16,5.3,0.92195299170849,1.0,2010,7,7,14,52,0
17,4.0,0.3991791217677804,1.0,2014,12,6,20,36,22
18,10.5,1.6868636601614833,1.0,2010,9,7,13,18,0
19,11.5,2.2924729664118466,1.0,2013,2,12,12,15,46
20,4.5,0.9242970093305825,1.0,2009,8,6,18,17,23
21,4.9,1.4039601178314562,1.0,2010,12,6,12,29,0
22,6.1,1.0177744940373885,1.0,2009,12,10,15,37,0
23,7.3,2.5319501944662943,3.0,2011,6,21,16,15,0
24,4.5,0.3287713068026307,3.0,2011,6,28,19,47,0
25,9.3,4.073468716994356,1.0,2012,5,4,6,11,20
26,4.5,0.8081542770566601,2.0,2013,8,11,0,52,0
27,5.5,0.8719144733381348,1.0,2014,2,19,16,3,0
28,22.54,6.703560935451755,1.0,2015,6,21,21,46,34
29,31.9,9.403308646773803,3.0,2009,1,9,16,10,0
30,5.7,1.3815904149288538,2.0,2011,9,7,14,5,0
31,18.1,7.150512682854978,1.0,2011,9,7,23,5,44
32,58.0,12.782073405468376,1.0,2015,1,11,3,15,38
33,4.5,0.8067003976868194,1.0,2015,3,12,8,8,38
34,5.3,0.9518021545943864,1.0,2012,1,19,10,15,30
35,9.0,2.3438057139560136,6.0,2013,11,24,11,42,0
36,9.8,3.5859956675607365,1.0,2009,3,2,20,42,49
37,8.1,1.6435703295470256,1.0,2011,3,29,15,39,49
38,10.9,5.0139427529186,2.0,2011,10,15,10,55,24
39,17.5,5.748266780442455,1.0,2013,11,22,8,38,9
40,12.1,5.456878010640364,1.0,2009,6,10,21,28,0
41,5.3,0.9470373753696912,1.0,2011,3,4,18,12,0
42,6.9,2.548618706601672,1.0,2011,8,31,21,14,15
43,4.5,0.992739107529822,1.0,2011,6,1,20,30,0
44,3.3,0.461854108460356,1.0,2011,12,14,7,53,0
45,3.3,0.5503279999091121,5.0,2012,7,18,0,16,0
46,9.0,1.6478854993583,1.0,2013,1,29,12,26,0
47,9.7,2.4993190694319773,1.0,2011,12,6,9,9,21
48,5.5,1.0137134091971944,3.0,2012,10,6,20,31,36
49,8.0,2.2850883344273707,1.0,2013,1,23,7,1,38
50,7.5,0.20706823917584175,1.0,2013,9,7,3,17,0
51,25.5,11.603789992393704,4.0,2013,11,10,1,12,19
52,15.3,5.044029629980626,1.0,2012,1,4,18,7,29
53,34.67,9.634367730677127,1.0,2010,5,31,18,6,0
54,9.7,1.6908659426286985,4.0,2011,3,19,21,55,0
55,13.7,6.348909357411943,2.0,2012,7,19,23,53,14
56,6.5,1.2705863105530375,1.0,2009,3,23,12,13,29
57,5.0,0.43087136527129655,6.0,2014,7,16,10,57,0
58,4.5,1.2319161016329914,3.0,2011,4,22,23,21,3
59,4.9,0.9750637974750715,1.0,2012,1,2,14,54,0
60,7.0,1.447959969450196,6.0,2014,5,1,9,12,0
61,7.3,2.191295372582285,2.0,2011,11,7,10,47,40
62,7.5,1.6200937978739125,1.0,2012,10,7,17,59,8
63,8.5,1.1134207116400403,4.0,2014,1,17,9,3,0
64,16.5,3.733213593164115,6.0,2014,4,29,18,28,0
